Gene stable ID,Gene start (bp),Gene end (bp),Gene description,Gene name,Gene type,Chromosome/scaffold name,Strand
ENSMUSG00000086337,96177551,96178800,predicted gene 11535 [Source:MGI Symbol;Acc:MGI:3650113],Gm11535,lincRNA,11,1
ENSMUSG00000049604,96194316,96197447,homeobox B13 [Source:MGI Symbol;Acc:MGI:107730],Hoxb13,protein_coding,11,1
ENSMUSG00000001444,97098071,97115331,T-box 21 [Source:MGI Symbol;Acc:MGI:1888984],Tbx21,protein_coding,11,-1
ENSMUSG00000084368,97116796,97116915,predicted gene 11572 [Source:MGI Symbol;Acc:MGI:3649589],Gm11572,processed_pseudogene,11,-1
ENSMUSG00000083337,96248633,96249189,predicted gene 11539 [Source:MGI Symbol;Acc:MGI:3651911],Gm11539,processed_pseudogene,11,1
ENSMUSG00000078706,96251105,96264868,predicted gene 53 [Source:MGI Symbol;Acc:MGI:2684899],Gm53,lincRNA,11,1
ENSMUSG00000045532,102939264,102946688,"complement component 1, q subcomponent-like 1 [Source:MGI Symbol;Acc:MGI:1344400]",C1ql1,protein_coding,11,-1
ENSMUSG00000109715,75530277,75533071,predicted gene 45606 [Source:MGI Symbol;Acc:MGI:5791442],Gm45606,antisense_RNA,11,-1
ENSMUSG00000038178,75531694,75577575,"solute carrier family 43, member 2 [Source:MGI Symbol;Acc:MGI:2442746]",Slc43a2,protein_coding,11,1
ENSMUSG00000085338,102958300,102964387,RIKEN cDNA 2410004I01 gene [Source:MGI Symbol;Acc:MGI:1916989],2410004I01Rik,lincRNA,11,-1
ENSMUSG00000020935,102994047,103028333,dephospho-CoA kinase domain containing [Source:MGI Symbol;Acc:MGI:1915337],Dcakd,protein_coding,11,-1
ENSMUSG00000057778,72777232,72796142,cytochrome b5 domain containing 2 [Source:MGI Symbol;Acc:MGI:2684848],Cyb5d2,protein_coding,11,-1
ENSMUSG00000084969,79704630,79705420,predicted gene 11205 [Source:MGI Symbol;Acc:MGI:3650272],Gm11205,lincRNA,11,1
ENSMUSG00000086474,79781979,79872394,RIKEN cDNA 9130204K15 gene [Source:MGI Symbol;Acc:MGI:2441733],9130204K15Rik,lincRNA,11,-1
ENSMUSG00000038517,97136171,97151495,TBK1 binding protein 1 [Source:MGI Symbol;Acc:MGI:1920424],Tbkbp1,protein_coding,11,-1
ENSMUSG00000020875,96271457,96276595,homeobox B9 [Source:MGI Symbol;Acc:MGI:96190],Hoxb9,protein_coding,11,1
ENSMUSG00000083395,79897222,79897962,predicted gene 11203 [Source:MGI Symbol;Acc:MGI:3650028],Gm11203,processed_pseudogene,11,1
ENSMUSG00000082252,79905981,79906127,predicted gene 11204 [Source:MGI Symbol;Acc:MGI:3650271],Gm11204,processed_pseudogene,11,1
ENSMUSG00000056648,96281905,96285315,homeobox B8 [Source:MGI Symbol;Acc:MGI:96189],Hoxb8,protein_coding,11,1
ENSMUSG00000038721,96286623,96290162,homeobox B7 [Source:MGI Symbol;Acc:MGI:96188],Hoxb7,protein_coding,11,1
ENSMUSG00000059610,59570255,59576235,olfactory receptor 222 [Source:MGI Symbol;Acc:MGI:3030056],Olfr222,protein_coding,11,-1
ENSMUSG00000035575,79932321,79962390,UTP6 small subunit processome component [Source:MGI Symbol;Acc:MGI:2445193],Utp6,protein_coding,11,-1
ENSMUSG00000055670,72796226,72927120,"zinc finger, ZZ-type with EF hand domain 1 [Source:MGI Symbol;Acc:MGI:2444286]",Zzef1,protein_coding,11,1
ENSMUSG00000081262,59577992,59578636,predicted gene 12261 [Source:MGI Symbol;Acc:MGI:3650914],Gm12261,processed_pseudogene,11,-1
ENSMUSG00000048919,59588497,59593289,olfactory receptor 223 [Source:MGI Symbol;Acc:MGI:3030057],Olfr223,protein_coding,11,-1
ENSMUSG00000000690,96292476,96301569,homeobox B6 [Source:MGI Symbol;Acc:MGI:96187],Hoxb6,protein_coding,11,1
ENSMUSG00000038700,96303336,96306121,homeobox B5 [Source:MGI Symbol;Acc:MGI:96186],Hoxb5,protein_coding,11,1
ENSMUSG00000085645,96291024,96306910,"homeobox B5 and homeobox B6, opposite strand [Source:MGI Symbol;Acc:MGI:1922645]",Hoxb5os,antisense_RNA,11,-1
ENSMUSG00000020867,94478904,94486179,spermatogenesis associated 20 [Source:MGI Symbol;Acc:MGI:2183449],Spata20,protein_coding,11,-1
ENSMUSG00000108457,59602919,59603293,predicted gene 5027 [Source:MGI Symbol;Acc:MGI:3643392],Gm5027,unprocessed_pseudogene,11,-1
ENSMUSG00000044061,59610585,59615060,olfactory receptor 225 [Source:MGI Symbol;Acc:MGI:3030059],Olfr225,polymorphic_pseudogene,11,1
ENSMUSG00000001440,97159714,97187881,karyopherin (importin) beta 1 [Source:MGI Symbol;Acc:MGI:107532],Kpnb1,protein_coding,11,-1
ENSMUSG00000084329,72833461,72835380,predicted gene 6733 [Source:MGI Symbol;Acc:MGI:3645402],Gm6733,processed_pseudogene,11,1
ENSMUSG00000038692,96318267,96321638,homeobox B4 [Source:MGI Symbol;Acc:MGI:96185],Hoxb4,protein_coding,11,1
ENSMUSG00000084936,97160990,97161675,predicted gene 11583 [Source:MGI Symbol;Acc:MGI:3705153],Gm11583,antisense_RNA,11,1
ENSMUSG00000048763,96323326,96347930,homeobox B3 [Source:MGI Symbol;Acc:MGI:96184],Hoxb3,protein_coding,11,1
ENSMUSG00000084844,96343072,96354691,"homeobox B3 and homeobox B2, opposite strand [Source:MGI Symbol;Acc:MGI:103211]",Hoxb3os,antisense_RNA,11,-1
ENSMUSG00000075589,96336299,96342108,predicted gene 11536 [Source:MGI Symbol;Acc:MGI:3650116],Gm11536,antisense_RNA,11,-1
ENSMUSG00000075588,96350525,96354012,homeobox B2 [Source:MGI Symbol;Acc:MGI:96183],Hoxb2,protein_coding,11,1
ENSMUSG00000086330,59725917,59740154,RIKEN cDNA 1700007J10 gene [Source:MGI Symbol;Acc:MGI:1916570],1700007J10Rik,processed_transcript,11,-1
ENSMUSG00000005417,59661305,59780860,myosin phosphatase Rho interacting protein [Source:MGI Symbol;Acc:MGI:1349438],Mprip,protein_coding,11,1
ENSMUSG00000018973,96365752,96368256,homeobox B1 [Source:MGI Symbol;Acc:MGI:96182],Hoxb1,protein_coding,11,1
ENSMUSG00000075587,96392112,96392666,predicted gene 11531 [Source:MGI Symbol;Acc:MGI:3650260],Gm11531,processed_pseudogene,11,1
ENSMUSG00000017548,79993106,80034123,suppressor of zeste 12 homolog (Drosophila) [Source:MGI Symbol;Acc:MGI:1261758],Suz12,protein_coding,11,1
ENSMUSG00000075586,96448323,96464547,predicted gene 11529 [Source:MGI Symbol;Acc:MGI:3649352],Gm11529,processed_transcript,11,-1
ENSMUSG00000001441,97205842,97280638,aminopeptidase puromycin sensitive [Source:MGI Symbol;Acc:MGI:1101358],Npepps,protein_coding,11,-1
ENSMUSG00000086536,59775286,59780321,predicted gene 12264 [Source:MGI Symbol;Acc:MGI:3702404],Gm12264,antisense_RNA,11,-1
ENSMUSG00000057058,96464593,96759130,src family associated phosphoprotein 1 [Source:MGI Symbol;Acc:MGI:1925723],Skap1,protein_coding,11,1
ENSMUSG00000085088,75589665,75594771,RIKEN cDNA 4931413K12 gene [Source:MGI Symbol;Acc:MGI:1918237],4931413K12Rik,processed_transcript,11,-1
ENSMUSG00000017781,75588097,75628804,"phosphatidylinositol transfer protein, alpha [Source:MGI Symbol;Acc:MGI:99887]",Pitpna,protein_coding,11,1
ENSMUSG00000010080,94489599,94499974,epsin 3 [Source:MGI Symbol;Acc:MGI:1919139],Epn3,protein_coding,11,-1
ENSMUSG00000086680,97280128,97282897,predicted gene 11592 [Source:MGI Symbol;Acc:MGI:3650504],Gm11592,antisense_RNA,11,1
ENSMUSG00000081485,75599763,75599954,predicted gene 12338 [Source:MGI Symbol;Acc:MGI:3650622],Gm12338,processed_pseudogene,11,-1
ENSMUSG00000039110,94501347,94521742,MYCBP associated protein [Source:MGI Symbol;Acc:MGI:2388726],Mycbpap,protein_coding,11,-1
ENSMUSG00000085242,96766802,96768269,predicted gene 11537 [Source:MGI Symbol;Acc:MGI:3705160],Gm11537,antisense_RNA,11,1
ENSMUSG00000020876,96767555,96777559,sorting nexin 11 [Source:MGI Symbol;Acc:MGI:1921729],Snx11,protein_coding,11,-1
ENSMUSG00000006127,75630988,75648871,inositol polyphosphate 5-phosphatase K [Source:MGI Symbol;Acc:MGI:1194899],Inpp5k,protein_coding,11,1
ENSMUSG00000018882,97315716,97329920,mitochondrial ribosomal protein L45 [Source:MGI Symbol;Acc:MGI:1914286],Mrpl45,protein_coding,11,1
ENSMUSG00000081958,97322328,97322489,predicted gene 11594 [Source:MGI Symbol;Acc:MGI:3650496],Gm11594,processed_pseudogene,11,-1
ENSMUSG00000070337,97332109,97352077,G protein-coupled receptor 179 [Source:MGI Symbol;Acc:MGI:2443409],Gpr179,protein_coding,11,-1
ENSMUSG00000039096,94539798,94549255,radical S-adenosyl methionine domain containing 1 [Source:MGI Symbol;Acc:MGI:3039628],Rsad1,protein_coding,11,-1
ENSMUSG00000039084,94565047,94569127,chondroadherin [Source:MGI Symbol;Acc:MGI:1096866],Chad,protein_coding,11,1
ENSMUSG00000076435,94557102,94601871,acyl-CoA synthetase family member 2 [Source:MGI Symbol;Acc:MGI:2388287],Acsf2,protein_coding,11,-1
ENSMUSG00000038485,97362551,97398542,suppressor of cytokine signaling 7 [Source:MGI Symbol;Acc:MGI:2651588],Socs7,protein_coding,11,1
ENSMUSG00000041958,78328415,78342782,"phosphatidylinositol glycan anchor biosynthesis, class S [Source:MGI Symbol;Acc:MGI:2687325]",Pigs,protein_coding,11,1
ENSMUSG00000049807,97415533,97502402,Rho GTPase activating protein 23 [Source:MGI Symbol;Acc:MGI:3697726],Arhgap23,protein_coding,11,1
ENSMUSG00000047988,97490783,97500340,RIKEN cDNA 4933428G20 gene [Source:MGI Symbol;Acc:MGI:1918475],4933428G20Rik,protein_coding,11,-1
ENSMUSG00000081249,96795439,96795825,predicted gene 11517 [Source:MGI Symbol;Acc:MGI:3650064],Gm11517,processed_pseudogene,11,-1
ENSMUSG00000018666,96789127,96808640,chromobox 1 [Source:MGI Symbol;Acc:MGI:105369],Cbx1,protein_coding,11,1
ENSMUSG00000020788,72961169,72993044,"ATPase, Ca++ transporting, ubiquitous [Source:MGI Symbol;Acc:MGI:1194503]",Atp2a3,protein_coding,11,1
ENSMUSG00000038453,97509340,97576186,SRC kinase signaling inhibitor 1 [Source:MGI Symbol;Acc:MGI:1933179],Srcin1,protein_coding,11,-1
ENSMUSG00000038615,96817414,96829968,"nuclear factor, erythroid derived 2,-like 1 [Source:MGI Symbol;Acc:MGI:99421]",Nfe2l1,protein_coding,11,-1
ENSMUSG00000002058,78343482,78349164,unc-119 lipid binding chaperone [Source:MGI Symbol;Acc:MGI:1328357],Unc119,protein_coding,11,1
ENSMUSG00000087042,97519612,97521895,predicted gene 11611 [Source:MGI Symbol;Acc:MGI:3707011],Gm11611,sense_intronic,11,-1
ENSMUSG00000082945,94607402,94609036,predicted gene 11540 [Source:MGI Symbol;Acc:MGI:3651617],Gm11540,unprocessed_pseudogene,11,1
ENSMUSG00000020869,94629767,94645216,leucine rich repeat containing 59 [Source:MGI Symbol;Acc:MGI:2138133],Lrrc59,protein_coding,11,1
ENSMUSG00000039055,94644996,94653964,essential meiotic structure-specific endonuclease 1 [Source:MGI Symbol;Acc:MGI:3576783],Eme1,protein_coding,11,-1
ENSMUSG00000024414,94653767,94660089,mitochondrial ribosomal protein L27 [Source:MGI Symbol;Acc:MGI:2137224],Mrpl27,protein_coding,11,1
ENSMUSG00000018672,96849870,96861203,"coatomer protein complex, subunit zeta 2 [Source:MGI Symbol;Acc:MGI:1929008]",Copz2,protein_coding,11,1
ENSMUSG00000083651,96870195,96871001,predicted gene 11524 [Source:MGI Symbol;Acc:MGI:3651807],Gm11524,processed_pseudogene,11,1
ENSMUSG00000087117,96862997,96873954,predicted gene 11523 [Source:MGI Symbol;Acc:MGI:3651808],Gm11523,processed_transcript,11,-1
ENSMUSG00000043648,59783897,59787645,"phospholipase D family, member 6 [Source:MGI Symbol;Acc:MGI:2687283]",Pld6,protein_coding,11,-1
ENSMUSG00000032633,59791408,59810016,folliculin [Source:MGI Symbol;Acc:MGI:2442184],Flcn,protein_coding,11,-1
ENSMUSG00000017774,75650504,75673910,myosin IC [Source:MGI Symbol;Acc:MGI:106612],Myo1c,protein_coding,11,1
ENSMUSG00000020868,94663851,94677515,xylosyltransferase II [Source:MGI Symbol;Acc:MGI:2444797],Xylt2,protein_coding,11,-1
ENSMUSG00000018678,96953341,96982959,Sp2 transcription factor [Source:MGI Symbol;Acc:MGI:1926162],Sp2,protein_coding,11,-1
ENSMUSG00000078700,96916270,96965060,RIKEN cDNA D030028A08 gene [Source:MGI Symbol;Acc:MGI:2441931],D030028A08Rik,processed_transcript,11,1
ENSMUSG00000047040,96928104,96937830,proline rich 15-like [Source:MGI Symbol;Acc:MGI:2387599],Prr15l,protein_coding,11,1
ENSMUSG00000018669,96907426,96916496,CDK5 regulatory subunit associated protein 3 [Source:MGI Symbol;Acc:MGI:1933126],Cdk5rap3,protein_coding,11,-1
ENSMUSG00000032615,59839447,59880968,"5',3'-nucleotidase, mitochondrial [Source:MGI Symbol;Acc:MGI:1917127]",Nt5m,protein_coding,11,1
ENSMUSG00000085051,94677565,94687664,predicted gene 11542 [Source:MGI Symbol;Acc:MGI:3650067],Gm11542,processed_transcript,11,1
ENSMUSG00000056008,94694498,94704499,predicted gene 11541 [Source:MGI Symbol;Acc:MGI:3650066],Gm11541,protein_coding,11,-1
ENSMUSG00000020870,94741782,94743033,cell division cycle 34B [Source:MGI Symbol;Acc:MGI:1858429],Cdc34b,protein_coding,11,1
ENSMUSG00000075611,94756976,94757763,predicted gene 11545 [Source:MGI Symbol;Acc:MGI:2144683],Gm11545,unprocessed_pseudogene,11,-1
ENSMUSG00000075610,94777217,94782703,transmembrane protein 92 [Source:MGI Symbol;Acc:MGI:3034723],Tmem92,protein_coding,11,-1
ENSMUSG00000019373,59817795,59839838,COP9 signalosome subunit 3 [Source:MGI Symbol;Acc:MGI:1349409],Cops3,protein_coding,11,-1
ENSMUSG00000018659,96937825,96943986,pyridoxine 5'-phosphate oxidase [Source:MGI Symbol;Acc:MGI:2144151],Pnpo,protein_coding,11,-1
ENSMUSG00000083227,94797049,94797777,predicted gene 11546 [Source:MGI Symbol;Acc:MGI:3705839],Gm11546,unprocessed_pseudogene,11,-1
ENSMUSG00000085307,96918941,96922493,predicted gene 11525 [Source:MGI Symbol;Acc:MGI:3651809],Gm11525,antisense_RNA,11,-1
ENSMUSG00000087249,59810080,59818491,predicted gene 16062 [Source:MGI Symbol;Acc:MGI:3802162],Gm16062,antisense_RNA,11,1
ENSMUSG00000081478,94812619,94813348,expressed sequence AA623943 [Source:MGI Symbol;Acc:MGI:3035046],AA623943,unprocessed_pseudogene,11,-1
ENSMUSG00000081007,94828186,94828930,predicted gene 11543 [Source:MGI Symbol;Acc:MGI:3705877],Gm11543,unprocessed_pseudogene,11,-1
ENSMUSG00000081586,94845358,94846092,predicted gene 11544 [Source:MGI Symbol;Acc:MGI:3650736],Gm11544,unprocessed_pseudogene,11,-1
ENSMUSG00000043522,94861018,94861759,RIKEN cDNA A430060F13 gene [Source:MGI Symbol;Acc:MGI:3026970],A430060F13Rik,unprocessed_pseudogene,11,-1
ENSMUSG00000002057,78357577,78386558,forkhead box N1 [Source:MGI Symbol;Acc:MGI:102949],Foxn1,protein_coding,11,-1
ENSMUSG00000085860,97598511,97622893,RIKEN cDNA 2410003L11 gene [Source:MGI Symbol;Acc:MGI:1916979],2410003L11Rik,processed_transcript,11,1
ENSMUSG00000043439,97627389,97629702,elongin BC and polycomb repressive complex 2 associated protein [Source:MGI Symbol;Acc:MGI:2143991],Epop,protein_coding,11,-1
ENSMUSG00000085586,97644184,97660367,predicted gene 11613 [Source:MGI Symbol;Acc:MGI:3651819],Gm11613,processed_transcript,11,-1
ENSMUSG00000038437,97663414,97685463,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 6 [Source:MGI Symbol;Acc:MGI:1935145]",Mllt6,protein_coding,11,1
ENSMUSG00000001506,94936224,94953042,"collagen, type I, alpha 1 [Source:MGI Symbol;Acc:MGI:88467]",Col1a1,protein_coding,11,1
ENSMUSG00000020787,72999103,73015200,"purinergic receptor P2X, ligand-gated ion channel, 1 [Source:MGI Symbol;Acc:MGI:1098235]",P2rx1,protein_coding,11,1
ENSMUSG00000001095,78397087,78422217,"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:MGI Symbol;Acc:MGI:1276558]",Slc13a2,protein_coding,11,-1
ENSMUSG00000085747,78394485,78405657,"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2, opposite strand [Source:MGI Symbol;Acc:MGI:3649278]",Slc13a2os,antisense_RNA,11,1
ENSMUSG00000038560,97013394,97024734,trans-acting transcription factor 6 [Source:MGI Symbol;Acc:MGI:1932575],Sp6,protein_coding,11,1
ENSMUSG00000087067,97020508,97026248,predicted gene 11532 [Source:MGI Symbol;Acc:MGI:3713523],Gm11532,processed_transcript,11,-1
ENSMUSG00000020877,97029938,97033958,secernin 2 [Source:MGI Symbol;Acc:MGI:1343092],Scrn2,protein_coding,11,1
ENSMUSG00000078695,97685826,97688621,CDGSH iron sulfur domain 3 [Source:MGI Symbol;Acc:MGI:101788],Cisd3,protein_coding,11,1
ENSMUSG00000018537,97688823,97700497,polycomb group ring finger 2 [Source:MGI Symbol;Acc:MGI:99161],Pcgf2,protein_coding,11,-1
ENSMUSG00000086380,78444107,78444901,predicted gene 11195 [Source:MGI Symbol;Acc:MGI:3649277],Gm11195,lincRNA,11,1
ENSMUSG00000020829,78465697,78472059,"solute carrier family 46, member 1 [Source:MGI Symbol;Acc:MGI:1098733]",Slc46a1,protein_coding,11,1
ENSMUSG00000001508,94962791,94976327,"sarcoglycan, alpha (dystrophin-associated glycoprotein) [Source:MGI Symbol;Acc:MGI:894698]",Sgca,protein_coding,11,-1
ENSMUSG00000038994,94967593,94968456,histone H1-like protein in spermatids 1 [Source:MGI Symbol;Acc:MGI:2136691],Hils1,protein_coding,11,1
ENSMUSG00000020878,97034602,97041407,leucine rich repeat containing 46 [Source:MGI Symbol;Acc:MGI:1916547],Lrrc46,protein_coding,11,-1
ENSMUSG00000081860,97037007,97037483,predicted gene 11533 [Source:MGI Symbol;Acc:MGI:3651874],Gm11533,processed_pseudogene,11,1
ENSMUSG00000084766,59898374,59907319,predicted gene 12714 [Source:MGI Symbol;Acc:MGI:3651102],Gm12714,lincRNA,11,1
ENSMUSG00000085551,59921499,59921889,RIKEN cDNA 1810063I02 gene [Source:MGI Symbol;Acc:MGI:1917104],1810063I02Rik,lincRNA,11,1
ENSMUSG00000085260,59946889,59948142,"mediator complex subunit 9, opposite strand [Source:MGI Symbol;Acc:MGI:1916628]",Med9os,antisense_RNA,11,-1
ENSMUSG00000049892,59963181,59964944,"RAS, dexamethasone-induced 1 [Source:MGI Symbol;Acc:MGI:1270848]",Rasd1,protein_coding,11,-1
ENSMUSG00000001445,97041560,97049213,mitochondrial ribosomal protein L10 [Source:MGI Symbol;Acc:MGI:1333801],Mrpl10,protein_coding,11,1
ENSMUSG00000061650,59948206,59962205,mediator complex subunit 9 [Source:MGI Symbol;Acc:MGI:2183151],Med9,protein_coding,11,1
ENSMUSG00000038534,97050628,97068904,oxysterol binding protein-like 7 [Source:MGI Symbol;Acc:MGI:1918490],Osbpl7,protein_coding,11,1
ENSMUSG00000085262,97048691,97051432,predicted gene 11574 [Source:MGI Symbol;Acc:MGI:3705166],Gm11574,processed_transcript,11,-1
ENSMUSG00000069744,97703399,97713500,"proteasome (prosome, macropain) subunit, beta type 3 [Source:MGI Symbol;Acc:MGI:1347014]",Psmb3,protein_coding,11,1
ENSMUSG00000050132,78472330,78497754,sterile alpha and HEAT/Armadillo motif containing 1 [Source:MGI Symbol;Acc:MGI:2136419],Sarm1,protein_coding,11,-1
ENSMUSG00000000301,59970614,60046489,phosphatidylethanolamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:104535],Pemt,protein_coding,11,-1
ENSMUSG00000017344,78499091,78502324,vitronectin [Source:MGI Symbol;Acc:MGI:98940],Vtn,protein_coding,11,1
ENSMUSG00000085145,97723651,97725711,predicted gene 11614 [Source:MGI Symbol;Acc:MGI:3651813],Gm11614,antisense_RNA,11,1
ENSMUSG00000018547,97715157,97744704,"phosphatidylinositol-5-phosphate 4-kinase, type II, beta [Source:MGI Symbol;Acc:MGI:1934234]",Pip4k2b,protein_coding,11,-1
ENSMUSG00000018541,97745481,97766556,CWC25 spliceosome-associated protein [Source:MGI Symbol;Acc:MGI:1914730],Cwc25,protein_coding,11,-1
ENSMUSG00000084168,97768060,97768371,"ATP synthase, H+ transporting, mitochondrial FO complex, subunit G2, pseudogene [Source:MGI Symbol;Acc:MGI:3649364]",Atp5l2-ps,processed_pseudogene,11,1
ENSMUSG00000018543,97771481,97775918,RIKEN cDNA 1700001P01 gene [Source:MGI Symbol;Acc:MGI:1919465],1700001P01Rik,protein_coding,11,-1
ENSMUSG00000071415,97777527,97782437,ribosomal protein L23 [Source:MGI Symbol;Acc:MGI:1929455],Rpl23,protein_coding,11,-1
ENSMUSG00000038366,97799000,97838764,LIM and SH3 protein 1 [Source:MGI Symbol;Acc:MGI:109656],Lasp1,protein_coding,11,1
ENSMUSG00000038976,94991035,95006899,"protein phosphatase 1, regulatory subunit 9B [Source:MGI Symbol;Acc:MGI:2387581]",Ppp1r9b,protein_coding,11,1
ENSMUSG00000001103,78503447,78505081,SEBOX homeobox [Source:MGI Symbol;Acc:MGI:108012],Sebox,protein_coding,11,1
ENSMUSG00000051232,78507055,78512172,transmembrane protein 199 [Source:MGI Symbol;Acc:MGI:2144113],Tmem199,protein_coding,11,-1
ENSMUSG00000050538,97840780,97844099,RIKEN cDNA B230217C12 gene [Source:MGI Symbol;Acc:MGI:1915377],B230217C12Rik,protein_coding,11,1
ENSMUSG00000070336,97853826,97884154,F-box protein 47 [Source:MGI Symbol;Acc:MGI:1920223],Fbxo47,protein_coding,11,-1
ENSMUSG00000001100,78512193,78522736,"polymerase (DNA-directed), delta interacting protein 2 [Source:MGI Symbol;Acc:MGI:1915061]",Poldip2,protein_coding,11,1
ENSMUSG00000086917,97884594,97893811,predicted gene 11630 [Source:MGI Symbol;Acc:MGI:3650475],Gm11630,lincRNA,11,1
ENSMUSG00000017417,97923238,97986444,plexin domain containing 1 [Source:MGI Symbol;Acc:MGI:1919574],Plxdc1,protein_coding,11,-1
ENSMUSG00000082715,97968792,97969235,predicted gene 11633 [Source:MGI Symbol;Acc:MGI:3650676],Gm11633,processed_pseudogene,11,1
ENSMUSG00000017615,78522850,78536332,"tumor necrosis factor, alpha-induced protein 1 (endothelial) [Source:MGI Symbol;Acc:MGI:104961]",Tnfaip1,protein_coding,11,-1
ENSMUSG00000038352,97989578,97996181,ADP-ribosylation factor-like 5C [Source:MGI Symbol;Acc:MGI:3028577],Arl5c,protein_coding,11,-1
ENSMUSG00000047181,95009879,95026087,sterile alpha motif domain containing 14 [Source:MGI Symbol;Acc:MGI:2384945],Samd14,protein_coding,11,1
ENSMUSG00000038967,95026258,95041354,"pyruvate dehydrogenase kinase, isoenzyme 2 [Source:MGI Symbol;Acc:MGI:1343087]",Pdk2,protein_coding,11,-1
ENSMUSG00000087630,95032759,95038283,predicted gene 11513 [Source:MGI Symbol;Acc:MGI:3649561],Gm11513,antisense_RNA,11,1
ENSMUSG00000001105,78536361,78541737,intraflagellar transport 20 [Source:MGI Symbol;Acc:MGI:1915585],Ift20,protein_coding,11,1
ENSMUSG00000001507,95044474,95076801,integrin alpha 3 [Source:MGI Symbol;Acc:MGI:96602],Itga3,protein_coding,11,-1
ENSMUSG00000017776,75679259,75706908,v-crk avian sarcoma virus CT10 oncogene homolog [Source:MGI Symbol;Acc:MGI:88508],Crk,protein_coding,11,1
ENSMUSG00000020849,75732869,75765845,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide [Source:MGI Symbol;Acc:MGI:894689]",Ywhae,protein_coding,11,1
ENSMUSG00000037278,78541817,78550777,transmembrane protein 97 [Source:MGI Symbol;Acc:MGI:1916321],Tmem97,protein_coding,11,-1
